Matricula, Nome, Função, Salário
797034, Maria Oliveira, Assistente, 7086.78
535264, Ana Santos, Desenvolvedor, 9018.03
552696, Lucas Silva, Desenvolvedor, 3968.07
057873, Carlos Pereira, Analista, 4724.22
274295, Pedro Santos, Desenvolvedor, 7378.98
756422, Lucas Souza, Gerente, 2864.68
848511, Maria Oliveira, Assistente, 8956.95
384607, Ana Santos, Analista, 3185.82
298306, Maria Costa, Assistente, 5753.63
771176, Beatriz Pereira, Técnico, 6168.94
532204, Ana Costa, Técnico, 8609.13
500699, Lucas Nascimento, Gerente, 5712.35
712344, Carlos Santos, Desenvolvedor, 7753.06
762976, Lucas Oliveira, Desenvolvedor, 6889.14
494772, Carlos Costa, Assistente, 5837.74
896088, Lucas Souza, Gerente, 4524.33
155882, Julia Costa, Coordenador, 8668.35
667460, João Santos, Técnico, 3165.00
958053, Carlos Almeida, Analista, 6432.82
859907, Maria Almeida, Coordenador, 4767.03
839000, Beatriz Almeida, Analista, 7017.87
002898, João Pereira, Técnico, 2299.54
854811, Lucas Almeida, Desenvolvedor, 7011.71
128760, Beatriz Santos, Técnico, 5832.09
752320, Pedro Oliveira, Desenvolvedor, 3940.18
138304, Carlos Oliveira, Coordenador, 3333.71
656667, Maria Almeida, Técnico, 4941.57
725538, João Souza, Analista, 7347.82
799469, Ana Costa, Assistente, 7459.27
908400, Ana Souza, Gerente, 2086.47
602728, Julia Santos, Analista, 7761.87
270272, Ana Nascimento, Coordenador, 4817.93
293030, Julia Santos, Técnico, 5885.74
737621, Julia Almeida, Analista, 7775.77
676449, Julia Almeida, Técnico, 9926.53
993858, Julia Silva, Desenvolvedor, 6830.98
465002, João Oliveira, Técnico, 5733.37
190823, Maria Almeida, Coordenador, 9710.97
277831, Lucas Costa, Analista, 4442.47
632523, Julia Oliveira, Coordenador, 9265.14
714136, João Almeida, Analista, 9028.31
090145, Beatriz Pereira, Desenvolvedor, 8208.65
776236, Beatriz Costa, Analista, 6036.37
140237, Carlos Oliveira, Técnico, 7845.73
289422, Pedro Oliveira, Desenvolvedor, 2247.48
223318, João Costa, Coordenador, 3023.58
125823, Beatriz Silva, Coordenador, 4506.80
573924, Carlos Almeida, Desenvolvedor, 3450.17
497792, Julia Costa, Gerente, 3323.58
915773, Pedro Nascimento, Técnico, 4531.30
386429, Beatriz Almeida, Gerente, 2032.47
154000, Maria Nascimento, Assistente, 5537.81
479622, João Santos, Analista, 5496.16
279075, Julia Pereira, Analista, 8430.29
149200, Maria Costa, Técnico, 2679.07
541659, Maria Souza, Desenvolvedor, 7106.76
490463, Carlos Pereira, Coordenador, 7331.87
312163, Carlos Costa, Coordenador, 4137.84
115037, Maria Costa, Assistente, 6740.53
760506, Pedro Pereira, Coordenador, 8323.19
386438, Julia Santos, Analista, 6338.86
541295, Carlos Souza, Técnico, 5636.79
687621, Beatriz Oliveira, Assistente, 5163.59
432760, Beatriz Pereira, Analista, 3461.10
417612, Maria Costa, Coordenador, 4867.17
721826, Carlos Santos, Desenvolvedor, 3912.49
529644, Maria Pereira, Técnico, 3565.44
248748, Pedro Oliveira, Coordenador, 3803.74
393839, Julia Souza, Desenvolvedor, 5313.49
569180, Beatriz Santos, Analista, 3694.79
240520, Lucas Nascimento, Técnico, 7945.90
020687, Pedro Souza, Técnico, 3454.21
779595, João Almeida, Gerente, 7031.39
025329, João Santos, Coordenador, 7513.30
870822, João Almeida, Coordenador, 6550.04
890666, Maria Nascimento, Gerente, 3754.92
596012, João Costa, Desenvolvedor, 3824.88
863207, Lucas Costa, Assistente, 2759.88
014976, Pedro Almeida, Assistente, 6904.05
623698, Maria Pereira, Gerente, 6980.57
566276, Pedro Souza, Analista, 4967.14
998381, Julia Souza, Gerente, 5127.06
739789, Beatriz Almeida, Coordenador, 6598.29
819400, João Souza, Analista, 7887.88
088376, Maria Almeida, Gerente, 4945.46
903797, Lucas Costa, Desenvolvedor, 8786.98
147824, Beatriz Costa, Técnico, 9645.17
074081, Maria Santos, Técnico, 3620.33
981658, Lucas Nascimento, Analista, 8563.28
198148, João Souza, Desenvolvedor, 4431.25
575083, Maria Souza, Coordenador, 7911.31
595035, Carlos Almeida, Coordenador, 6630.48
318583, Beatriz Santos, Coordenador, 2713.83
644282, Ana Silva, Assistente, 9572.28
276349, Ana Souza, Analista, 2047.27
619447, João Silva, Analista, 4093.51
909910, João Nascimento, Gerente, 5128.88
910566, Lucas Souza, Técnico, 9584.23
447134, Ana Pereira, Desenvolvedor, 9397.15
092161, Carlos Souza, Assistente, 8310.34
045316, Ana Santos, Coordenador, 7302.37
640770, Pedro Oliveira, Gerente, 6845.77
459078, João Nascimento, Coordenador, 2353.00
461057, Beatriz Oliveira, Desenvolvedor, 6509.72
438341, Maria Almeida, Assistente, 6620.57
436591, Pedro Oliveira, Gerente, 3309.52
511825, Pedro Costa, Analista, 7553.86
242280, Beatriz Santos, Técnico, 7779.59
424187, João Almeida, Analista, 8978.27
573942, Julia Costa, Analista, 8313.87
432428, João Oliveira, Desenvolvedor, 5680.62
850984, Lucas Souza, Desenvolvedor, 4061.76
524232, Maria Almeida, Desenvolvedor, 7972.42
174099, Carlos Santos, Coordenador, 2198.64
638991, Lucas Souza, Analista, 2532.28
522832, Julia Santos, Técnico, 4274.22
498608, Ana Nascimento, Técnico, 9455.67
557910, Pedro Costa, Técnico, 3634.21
684898, Carlos Oliveira, Técnico, 9623.39
970687, Ana Oliveira, Técnico, 8933.39
953778, Maria Almeida, Assistente, 8962.55
572320, Pedro Santos, Coordenador, 7178.47
738096, Beatriz Oliveira, Analista, 4900.15
750316, Julia Silva, Assistente, 3199.98
998720, Maria Oliveira, Coordenador, 6803.96
106364, Carlos Almeida, Coordenador, 5240.88
394765, Maria Costa, Gerente, 6222.12
471061, João Almeida, Coordenador, 3846.55
714094, Maria Santos, Gerente, 4163.55
305562, João Santos, Gerente, 6309.20
186100, Maria Almeida, Desenvolvedor, 6457.58
429492, Beatriz Souza, Analista, 3436.26
740970, João Costa, Técnico, 4605.47
976418, Maria Silva, Assistente, 9739.16
154722, Pedro Costa, Analista, 7082.07
255862, João Souza, Técnico, 8661.87
364824, Julia Souza, Desenvolvedor, 5268.67
963922, Ana Souza, Assistente, 6379.06
864057, Maria Costa, Técnico, 8379.25
526831, Beatriz Souza, Coordenador, 4107.42
187381, Julia Santos, Analista, 7379.59
784390, Ana Souza, Analista, 9281.11
754119, Beatriz Souza, Coordenador, 7106.83
376646, Lucas Santos, Técnico, 4019.67
569523, Lucas Almeida, Técnico, 6753.82
356203, Pedro Costa, Desenvolvedor, 7284.37
129243, Julia Nascimento, Técnico, 4502.47
253341, Maria Nascimento, Gerente, 8671.66
980254, Beatriz Pereira, Gerente, 9812.99
717387, Pedro Nascimento, Técnico, 6992.15
545044, Lucas Oliveira, Técnico, 3052.00
023317, Lucas Santos, Analista, 5116.15
787719, João Santos, Desenvolvedor, 4771.42
701642, Beatriz Santos, Coordenador, 8896.80
497544, Pedro Santos, Técnico, 5213.82
857522, João Oliveira, Analista, 6140.10
232182, Pedro Santos, Gerente, 7401.08
453386, Lucas Santos, Assistente, 2400.57
127877, Pedro Costa, Coordenador, 5209.64
145009, Julia Souza, Gerente, 6762.99
376936, Beatriz Almeida, Desenvolvedor, 4569.19
229630, Beatriz Almeida, Coordenador, 8595.59
667224, Julia Souza, Desenvolvedor, 9150.23
714119, Ana Pereira, Coordenador, 4743.37
575481, Ana Silva, Gerente, 3305.36
261037, Ana Almeida, Técnico, 6391.16
066517, Beatriz Souza, Analista, 7400.72
003255, João Nascimento, Desenvolvedor, 3937.54
477004, Beatriz Oliveira, Coordenador, 3463.83
623832, Maria Silva, Gerente, 7336.18
506372, Beatriz Costa, Gerente, 3329.34
983283, Carlos Oliveira, Gerente, 9552.76
837629, Maria Almeida, Desenvolvedor, 2625.31
580955, Maria Almeida, Desenvolvedor, 9764.15
652420, Beatriz Nascimento, Gerente, 5679.39
622960, Pedro Costa, Desenvolvedor, 9390.69
899110, Carlos Oliveira, Desenvolvedor, 6135.57
950386, Julia Pereira, Desenvolvedor, 5075.01
960637, Lucas Silva, Gerente, 7566.92
114119, Beatriz Oliveira, Desenvolvedor, 3684.44
925536, Julia Oliveira, Desenvolvedor, 5538.04
241656, Lucas Nascimento, Assistente, 4860.12
910934, Julia Costa, Desenvolvedor, 6676.74
584106, João Pereira, Coordenador, 5045.57
244923, João Costa, Técnico, 7235.43
338266, Maria Souza, Assistente, 7329.97
723140, Pedro Oliveira, Coordenador, 4778.42
693798, Pedro Oliveira, Analista, 7957.08
992913, Julia Nascimento, Assistente, 7708.92
906796, João Souza, Técnico, 6489.95
572303, Maria Almeida, Coordenador, 3928.75
663022, Pedro Almeida, Técnico, 8177.70
713863, Lucas Almeida, Coordenador, 5402.86
700627, Maria Almeida, Gerente, 3631.64
466760, Carlos Pereira, Gerente, 4940.41
869455, Maria Costa, Desenvolvedor, 9294.28
452976, Carlos Souza, Coordenador, 5966.19
377883, Beatriz Costa, Desenvolvedor, 4215.21
411682, João Nascimento, Desenvolvedor, 2629.99
276843, Lucas Souza, Desenvolvedor, 7754.69
809949, Julia Costa, Assistente, 3106.40
712769, João Souza, Coordenador, 4153.26
686467, Ana Oliveira, Desenvolvedor, 3551.73
995560, Maria Souza, Desenvolvedor, 9729.96
547079, Maria Nascimento, Coordenador, 8922.52
433928, Lucas Almeida, Técnico, 6747.95
463685, Pedro Almeida, Coordenador, 8251.39
021123, Ana Costa, Assistente, 3391.85
656133, Maria Nascimento, Assistente, 8534.00
314112, Lucas Almeida, Técnico, 5305.76
293155, Lucas Costa, Analista, 5019.49
974084, Julia Almeida, Assistente, 7193.05
006536, Beatriz Pereira, Assistente, 3320.29
848640, Lucas Nascimento, Gerente, 7458.35
303666, Beatriz Santos, Gerente, 9526.23
642403, Lucas Oliveira, Analista, 8074.49
581175, Beatriz Almeida, Coordenador, 6322.02
507286, Beatriz Pereira, Analista, 7536.78
274578, Maria Silva, Assistente, 2819.89
446088, Pedro Almeida, Analista, 2260.15
